evolvy_id,evolvy_inbox,chatwoot_inbox,created_at,data,periodo,status
32831,5871,7,1704306251,2024-01-03,dentro_periodo,importado
32832,5598,1,1704306665,2024-01-03,dentro_periodo,importado
32833,5598,1,1704306677,2024-01-03,dentro_periodo,importado
32834,5871,7,1704306705,2024-01-03,dentro_periodo,importado
32835,5599,1,1704306779,2024-01-03,dentro_periodo,importado
32836,5599,1,1704307824,2024-01-03,dentro_periodo,importado
32837,5598,1,1704308491,2024-01-03,dentro_periodo,importado
32838,5598,1,1704308624,2024-01-03,dentro_periodo,importado
32840,5598,1,1704308818,2024-01-03,dentro_periodo,importado
32841,5598,1,1704308851,2024-01-03,dentro_periodo,importado
32844,5598,1,1704311084,2024-01-03,dentro_periodo,importado
32846,5871,7,1704311979,2024-01-03,dentro_periodo,importado
32847,5598,1,1704312182,2024-01-03,dentro_periodo,importado
32848,5871,7,1704312191,2024-01-03,dentro_periodo,importado
32851,5871,7,1704313633,2024-01-03,dentro_periodo,importado
32852,5871,7,1704313924,2024-01-03,dentro_periodo,importado
32853,5599,1,1704314231,2024-01-03,dentro_periodo,importado
32854,5598,1,1704314883,2024-01-03,dentro_periodo,importado
32855,5598,1,1704314985,2024-01-03,dentro_periodo,importado
32856,5598,1,1704315010,2024-01-03,dentro_periodo,importado
32857,5871,7,1704316869,2024-01-03,dentro_periodo,importado
32858,5871,7,1704317144,2024-01-03,dentro_periodo,importado
32859,5871,7,1704317771,2024-01-03,dentro_periodo,importado
32860,5599,1,1704317862,2024-01-03,dentro_periodo,importado
32861,5871,7,1704318547,2024-01-03,dentro_periodo,importado
32862,5871,7,1704318881,2024-01-03,dentro_periodo,importado
32863,5871,7,1704318881,2024-01-03,dentro_periodo,importado
32866,5599,1,1704322288,2024-01-03,dentro_periodo,importado
32867,5871,7,1704322598,2024-01-03,dentro_periodo,importado
32868,5598,1,1704322666,2024-01-03,dentro_periodo,importado
32869,5598,1,1704322904,2024-01-03,dentro_periodo,importado
32872,5871,7,1704326088,2024-01-03,dentro_periodo,importado
32873,5598,1,1704326276,2024-01-03,dentro_periodo,importado
32874,5598,1,1704326301,2024-01-03,dentro_periodo,importado
32875,5598,1,1704326591,2024-01-03,dentro_periodo,importado
32877,5871,7,1704327140,2024-01-03,dentro_periodo,importado
32878,5599,1,1704328037,2024-01-03,dentro_periodo,importado
32879,5871,7,1704328608,2024-01-03,dentro_periodo,importado
32880,5598,1,1704330036,2024-01-03,dentro_periodo,importado
32881,5598,1,1704331163,2024-01-03,dentro_periodo,importado
32882,5598,1,1704331626,2024-01-03,dentro_periodo,importado
32883,5598,1,1704333547,2024-01-03,dentro_periodo,importado
32884,5598,1,1704333882,2024-01-03,dentro_periodo,importado
32887,5871,7,1704336094,2024-01-03,dentro_periodo,importado
32890,5871,7,1704339308,2024-01-04,dentro_periodo,importado
32891,5598,1,1704339945,2024-01-04,dentro_periodo,importado
32893,5598,1,1704340641,2024-01-04,dentro_periodo,importado
32894,5871,7,1704341713,2024-01-04,dentro_periodo,importado
32895,5871,7,1704343903,2024-01-04,dentro_periodo,importado
32897,5871,7,1704353041,2024-01-04,dentro_periodo,importado
32898,5598,1,1704353809,2024-01-04,dentro_periodo,importado
32899,5598,1,1704358810,2024-01-04,dentro_periodo,importado
32900,5871,7,1704358895,2024-01-04,dentro_periodo,importado
32901,5598,1,1704360127,2024-01-04,dentro_periodo,importado
32902,5598,1,1704360147,2024-01-04,dentro_periodo,importado
32903,5871,7,1704360319,2024-01-04,dentro_periodo,importado
32904,5599,1,1704361291,2024-01-04,dentro_periodo,importado
32905,5871,7,1704361484,2024-01-04,dentro_periodo,importado
32906,5871,7,1704361836,2024-01-04,dentro_periodo,importado
32907,5599,1,1704361920,2024-01-04,dentro_periodo,importado
32910,5599,1,1704365423,2024-01-04,dentro_periodo,importado
32911,5598,1,1704366244,2024-01-04,dentro_periodo,importado
32912,5599,1,1704366434,2024-01-04,dentro_periodo,importado
32913,5598,1,1704366847,2024-01-04,dentro_periodo,importado
32914,5598,1,1704367078,2024-01-04,dentro_periodo,importado
32916,5599,1,1704367778,2024-01-04,dentro_periodo,importado
32917,5598,1,1704367847,2024-01-04,dentro_periodo,importado
32918,5599,1,1704367938,2024-01-04,dentro_periodo,importado
32919,5598,1,1704368387,2024-01-04,dentro_periodo,importado
32920,5598,1,1704368690,2024-01-04,dentro_periodo,importado
32921,5871,7,1704370238,2024-01-04,dentro_periodo,importado
32924,5598,1,1704371065,2024-01-04,dentro_periodo,importado
32925,5871,7,1704371473,2024-01-04,dentro_periodo,importado
32926,5598,1,1704371637,2024-01-04,dentro_periodo,importado
32927,5598,1,1704372030,2024-01-04,dentro_periodo,importado
32929,5871,7,1704372763,2024-01-04,dentro_periodo,importado
32931,5598,1,1704373433,2024-01-04,dentro_periodo,importado
32933,5871,7,1704373926,2024-01-04,dentro_periodo,importado
32934,5871,7,1704374010,2024-01-04,dentro_periodo,importado
32936,5598,1,1704374875,2024-01-04,dentro_periodo,importado
32938,5598,1,1704375031,2024-01-04,dentro_periodo,importado
32939,5599,1,1704375158,2024-01-04,dentro_periodo,importado
32940,5598,1,1704375213,2024-01-04,dentro_periodo,importado
32942,5598,1,1704376258,2024-01-04,dentro_periodo,importado
32943,5871,7,1704376889,2024-01-04,dentro_periodo,importado
32944,5598,1,1704376967,2024-01-04,dentro_periodo,importado
32946,5871,7,1704378275,2024-01-04,dentro_periodo,importado
32948,5598,1,1704378554,2024-01-04,dentro_periodo,importado
32950,5598,1,1704378733,2024-01-04,dentro_periodo,importado
32951,5598,1,1704378960,2024-01-04,dentro_periodo,importado
32952,5871,7,1704378969,2024-01-04,dentro_periodo,importado
32953,5598,1,1704379451,2024-01-04,dentro_periodo,importado
32954,5598,1,1704379968,2024-01-04,dentro_periodo,importado
32955,5599,1,1704380836,2024-01-04,dentro_periodo,importado
