chatwoot_id,evolvy_id,evolvy_inbox_id,inbox_id,inbox_name,status_anterior,status_novo,created_at
199310,94982,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 10:35:05
199312,94984,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 10:39:05
199313,94986,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 10:41:06
199314,94988,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 10:46:05
199315,94989,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 10:48:06
199316,94990,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 10:50:05
199317,94992,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 10:50:10
199319,94997,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:00:11
199321,94999,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:03:06
199323,95001,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:04:05
199324,95002,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:05:07
199325,95003,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:05:10
199326,95005,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:07:08
199327,95006,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:08:05
199328,95008,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:10:05
199331,95012,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:14:08
199332,95013,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:15:05
199335,95017,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:21:06
199337,95020,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:23:05
199338,95021,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:23:09
199341,95024,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:24:15
199342,95025,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:26:06
199343,95026,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:27:05
199346,95030,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:31:06
199347,95031,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:31:09
199348,95032,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:32:06
199349,95033,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:32:10
199350,95034,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:35:04
199352,95036,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:37:10
199353,95038,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:38:07
199354,95039,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:38:09
199356,95041,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:39:09
199358,95043,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:41:05
199359,95044,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:42:06
199360,95046,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:42:08
199362,95049,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:46:07
199363,95050,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:46:10
199365,95053,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:48:09
199366,95055,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:51:06
199368,95058,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:53:06
199369,95060,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:55:05
199370,95061,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:56:06
199371,95062,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:56:09
199372,95064,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:59:05
199373,95065,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 11:59:09
199374,95066,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:01:05
199375,95067,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:02:06
199376,95068,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:04:05
199377,95070,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:07:05
199380,95073,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:13:05
199382,95075,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:18:06
199383,95077,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:18:10
199384,95079,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:19:05
199385,95080,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:20:11
199386,95082,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:22:06
199387,95083,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:23:04
199388,95086,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:25:05
199389,95088,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:26:05
199390,95089,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:27:06
199391,95090,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:29:06
199392,95091,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:32:06
199393,95093,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:33:05
199394,95095,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:34:05
199395,95096,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:35:06
199396,95098,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:36:05
199397,95100,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:37:06
199398,95101,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:37:09
199399,95102,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:40:07
199400,95103,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:40:11
199403,95107,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:46:08
199404,95109,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:48:08
199405,95110,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:48:13
199406,95111,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:52:06
199409,95114,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:55:07
199411,95118,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:59:06
199412,95121,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 12:59:11
199413,95126,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 13:04:07
199414,95127,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 13:05:06
199416,95130,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 13:07:05
199418,95133,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 13:10:06
199419,95137,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 13:23:05
199421,95139,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 13:25:07
199422,95140,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 13:25:10
199423,95145,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 13:33:06
199424,95147,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 13:37:05
199425,95150,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 13:38:06
199426,95153,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 13:39:05
199427,95155,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 13:41:06
199428,95157,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 13:43:06
199429,95158,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 13:45:05
199430,95160,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 13:48:05
199432,95163,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 13:51:06
199434,95165,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 13:55:04
199436,95168,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 13:56:06
199437,95170,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 13:59:05
199438,95175,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 14:00:11
199440,95179,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 14:07:05
